subj,main_cost,mon_cost,mnm_cost,main_acc,mon_acc,mnm_acc
s01,0.14442311313783718,0.16288862039309604,0.312163060630453,0.85,0.875,0.575
s02,0.030917786344559668,0.2329924693959916,0.44511829292911137,0.875,0.9,0.825
s03,0.10580941659228757,0.15697355325920007,0.3071751659711197,0.75,0.75,0.725
s04,0.03401301695655614,0.1022986483920762,0.2419154906606195,0.875,0.7,0.525
s05,0.09817104990136152,0.26104091622986825,0.327984703359987,0.575,0.725,0.4
s06,-0.08313187244428367,-0.06491662298973726,0.09945513196401193,0.825,0.8,0.325
s07,0.06362487462480934,0.13825832758974427,0.2444896912423145,0.675,0.7,0.275
s08,0.02880379759053516,0.029526978259018757,0.15833791279321166,0.65,0.575,0.45
s09,0.023061907293409626,0.14691037322881986,0.2970264333255477,0.875,0.65,0.325
s10,0.1027441474232432,0.11103825513989647,0.14572938874205202,0.85,0.65,0.475
s11,0.012832478038281765,0.15420505257582254,0.2805944080176944,0.95,0.875,0.725
s12,0.1453441430612375,0.1974959614804552,0.05286337469135954,0.0,0.0,0.0
s13,0.05666966708367641,0.20809047835843966,0.3352779824932022,0.575,0.875,0.525
s14,0.04049588206665914,0.13795007141765112,0.28621109501982245,0.85,0.75,0.675
s15,0.019930830042214086,0.15862303021199414,0.4334412399210623,0.275,0.9,0.675
s16,0.14253791912802516,0.17730520950260967,0.5371596724945876,0.9,0.875,0.675
s17,0.06051104021290463,0.12121833259990952,0.3574480702816812,0.8205128205128205,0.8,0.45
s19,-0.024172410282507262,0.13011929810405612,0.2033561784592628,0.7,0.425,0.15
s20,0.0877621702039635,0.14702730444136866,0.28938486354673376,0.725,0.775,0.5
s21,0.009521835857880565,0.1605002317442812,0.3020571470657825,0.825,0.725,0.55
s22,0.07542160359349018,0.1586950816207994,0.2873147995259967,0.675,0.8,0.5128205128205128
s23,0.07529853992217887,0.11645223074883003,0.2533729802418221,0.75,0.95,0.35
s24,0.1539921566857653,0.26439202022328856,0.2690436449979629,0.7,0.675,0.5
s25,0.15034672414546507,0.2457429965037867,0.35237122012397804,0.45,0.4,0.225
s26,0.07961609431103697,0.21016106310719526,0.3885867632921965,0.825,0.75,0.45
s27,0.052724242103632114,0.1303221560008494,0.3432448703009857,0.625,0.625,0.55
s29,0.07685039470240239,0.1518682454398239,0.2355062805314157,0.525,0.725,0.4
s30,0.12959660311570229,0.14327804125400928,0.4416861050815328,0.85,0.875,0.825
s31,0.1428300955072277,0.2749966576571413,0.5088854491133438,0.825,0.825,0.6
s32,0.1182284592183836,0.15795082407814776,0.3646947859191719,0.7,0.6,0.55
s33,0.2394261465925645,0.12946880262530452,0.03024433780383818,0.7,0.35,0.125
s34,0.10004810549593343,0.1888200723893725,0.4933899690958603,0.75,0.775,0.775
s35,0.05259326777590957,0.07703687869568507,0.186192607328648,0.875,0.9,0.5
s36,0.0711659043229563,0.16001113152504454,0.2649306035789235,0.8,0.775,0.425
s37,0.03986369283633909,0.1363326467503015,0.2191822749470123,0.625,0.725,0.4
s38,0.0403848645974144,0.1605892020270884,0.414102785100866,0.3,0.9,0.45
s39,0.06917039403308294,0.08219220506983979,0.17393941670349447,0.4,0.35,0.075
s40,0.01229564955415486,0.1363045505591613,0.4180481407017632,0.85,0.875,0.675
s41,0.0689101392988655,0.1352828606735818,0.13995552008878956,0.9,0.725,0.15
s42,0.06832820043096398,0.24882955036555765,0.3856111447679562,0.625,0.875,0.55
s43,0.10277532515296267,0.1853244350171661,0.4782720655639696,0.775,0.875,0.725
