,p-unc,condition,sig code
og_acc,0.028838460913002097,Baseline + Maintain,*
og_acc,1.586387846478574e-07,Baseline + MnM,***
og_acc,0.00020947792356752618,Baseline + Monitor,***
og_acc,8.168436792338744e-07,Maintain + MnM,***
og_acc,0.01893095721038891,Maintain + Monitor,*
og_acc,1.5608385930196542e-07,MnM + Monitor,***
pm_acc,0.0008547613434245572,Baseline + Maintain,***
pm_acc,1.1114313723737706e-08,Baseline + MnM,***
pm_acc,7.801167212763139e-05,Baseline + Monitor,***
pm_acc,0.00012190348446768482,Maintain + MnM,***
pm_acc,0.8498260986209433,Maintain + Monitor, 
pm_acc,3.232926233283507e-07,MnM + Monitor,***
rt,3.8990734031328085e-08,Baseline + Maintain,***
rt,8.447426840665747e-10,Baseline + MnM,***
rt,1.2704167648333119e-08,Baseline + Monitor,***
rt,9.61300952552953e-07,Maintain + MnM,***
rt,0.026090481264637054,Maintain + Monitor,*
rt,2.0965348809475623e-06,MnM + Monitor,***
pmCost,9.794656819803492e-07,Maintain + MnM,***
pmCost,0.01966582052836844,Maintain + Monitor,*
pmCost,2.0965348809475703e-06,MnM + Monitor,***
